Name,Country,Years active,Proven victims,Possible victims,Notes
Scott Lee Kimball,United States,2003–2004,4,21,"A skilled forger who, while he ran a legitimate business buying and selling organic beef, primarily enriched himself by passing bad checks on the accounts of others and using forged documents; by 2003 he had faced criminal charges in four Western states. These white-collar crimes also enabled his murders, by allowing him to create evidence that his victims were still alive after he had killed them; he also used their checking accounts and credit cards to further his schemes once they were dead. For the first year of his murder activity, he worked as an informant for the FBI, which both paid him and protected him from facing justice over some of his fraud schemes."
Robert Black,United Kingdom  Ireland (suspected)  West Germany (suspected)  Netherlands (suspected)  France (suspected),1981–1986,4,18+,"Convicted of kidnapping, raping and murdering four girls aged between five and 11. Suspect in other earlier child murders in the UK and other European countries. Died weeks before he was to be charged with a fifth child murder.[337]"
Max Gufler,Austria,1946–1958,4,18,"Poisoned and drowned four women, but suspected of killing 18 in total."
Ernesto Picchioni,Italy,1949 and earlier,4,16,Murdered people who approached his home; died of cardiac arrest in 1967.
Baekuni,Indonesia,1993–2010,4,14,"Child rapist who killed young boys; initially sentenced to life imprisonment, but changed to the death sentence.[338]"
Igor Chernat,Soviet Union,1985–1986,4,13,"Known as the ""Evil Spirit of Kaukjarvi""; Ukrainian soldier who raped and killed women in Kamenka, selling their stolen items afterwards; executed 1987.[339]"
Ricky Lee Green,United States,1985–1986,4,12,Bisexual drifter who killed people he met in bars; his wife assisted in two of the murders; executed in 1997.[340]
Robert Hicks Murray,United Kingdom,1912 and earlier,4,11+,Bigamist who murdered his wife and three children in a murder-suicide; posthumously revealed to have killed previous wives as well.[341]
William Dean Christensen,United States  Canada,1982–1983,4,10+,"Known as ""The American Jack the Ripper""; murdered and mutilated three women and one man; Canadian and US authorities also investigated him as a suspect in a total of ten murders, but he died before any of these claims could be confirmed.[342]"
Angus Sinclair,United Kingdom,"1961, 1967–1982",4,10,"Scottish man who was originally convicted of murdering a 7-year-old girl when he was 16. As well as being convicted of the murders of three women in 1977 and 1978, police suspect he was responsible for four other murders of women in Glasgow in these years.[343] Also a suspect in two other murders in 1970 and 1979 respectively.[344][345]"
John Cooper,United Kingdom,1985–1998,4,9,"Psychopathic Welsh burglar who was convicted in 2011 of the double shotgun murders of a couple on the Pembrokeshire coast in 1989 and another during a botched burglary nearby in 1985. Police believed he killed at least one other woman in 1989, and investigated the possibility he could also have been responsible for another double shotgun murder in Bridgend in 1993. A forensic pathologist also claimed to police that he could have been responsible for two murders of elderly siblings in Pembrokeshire in 1976.[346][347][348]"
Cary Stayner,United States,1999,4,9,"Known as ""The Yosemite Killer"". Killed four women in Yosemite, California. Sentenced to death. Brother of kidnapping victim Steven Stayner."
Tony Costa,United States,1968–1969,4,8,Dismembered and mutilated 4 women in Cape Cod in the late 1960s; linked to at least 4 other deaths and disappearances.
Carlton Gary,United States,1975–1978,4,8,"Gary was convicted of raping and strangling three elderly women in Columbus, Georgia between 1977 and 1978, although police and prosecutors believe him to be responsible for up to seven rape-murders in Columbus. DNA also linked him to an additional murder in Syracuse, New York, but prosecutors did not charge him because he was already on death row."
Oakland County Child Killer,United States,1976–1977,4,7–11,"Unidentified person or persons who abducted and murdered at least four children in Oakland County, Michigan, between 1976 and 1977."
Robert Rozier,United States,1981–1986,4,7,Former NFL player that was convicted of four murders but confessed to seven as a member of the Nation of Yahweh.
Leonard Fraser,Australia,1998–1999,4,7,Serial rapist and pedophile who murdered four women in Rockhampton. Sentenced to five consecutive life sentences plus 25 years without the possibility of parole; died in prison of a heart attack in 2007.
Christopher Peterson,United States,1990,4,7,"Peterson was convicted of four fatal shootings by the so-called ""Shotgun Killer"" that occurred between October and December 1990. He was charged in three other murders related to the killing spree but was acquitted."
Ricardo Caputo,United States  Mexico,1971–1983,4,6,Was No. 1 of the FBI Ten Most Wanted Fugitives during his time as a fugitive in the 1980s. Surrendered himself to justice in 1994 and died of cardiac arrest in prison three years later.
Anthony Allen Shore,United States,1986–1995,4,5,"Known as ""The Tourniquet Killer""; convicted of strangling a woman with an unusual ligature in 1992 and confessed to killing three girls including two with same MO."
Daytona Beach killer,United States,2005–2007,4,5,"Murdered four, possibly five, women in Daytona Beach, Florida between 2005 and 2007."
Jozef Slovák,Czechoslovakia,1978–1991,4,4+,"Suspected by investigators of more murders, but only four could be proven."
Monster of Udine,Italy,1980–1989,4,4+,"Killed at least 4 victims in the Province of Udine, Italy.[349]"
John Martin Crawford,Canada,1981–1992,4,4+,Convicted in 1996 for the murders of three native women.
Oba Chandler,United States,1989–1990,4,4+,"Convicted for the June 1989 murders of Joan Rogers and her two daughters, whose bodies were found floating in Tampa Bay, Florida with their hands and feet bound. Autopsies showed the victims had been thrown into the water while still alive, with ropes tied to a concrete block around their necks. Chandler was executed in 2011. In February 2014, DNA evidence also identified Chandler as the murderer of Ivelisse Berrios-Beguerisse, who was found dead in Coral Springs, Florida, on November 27, 1990."
Dallen Bounds,United States,1999,4,4+,"Murdered a Radio Shack manager, and a florist at their respective places of business. Then murdered two acquaintances before taking two others hostage and committing suicide. Suspected of additional murders in the Pacific Northwest."
Wayne Adam Ford,United States,1997–1998,4,4+,Confessed to murdering four women; believed to have killed others.
Heinrich Pommerenke,Germany,1959,4,4+,Killed four women.
Robert Mone,United Kingdom,1967–1976,4,4,Scottish man who shot dead a teacher at his former school in Dundee in 1967. Later escaped from a secure hospital in 1976 and killed three more.[350]
Jerry Brudos,United States,1968–1969,4,4,"Brudos was a necrophiliac who had a fascination with women's shoes, and would often dress his victims' corpses in women's clothing.[351]"
Robert Maudsley,United Kingdom,1974–1978,4,4,"Sentenced to life without parole in 1974 for murdering a man who had shown him pictures of young boys he had sexually abused. Subsequently, killed another child sex offender in Broadmoor high-security hospital and two more, including a child sex offender, in prison. Has been held in solitary confinement since 1983."
Aalt Mondria,Netherlands,1978–1997,4,4,"Dutch criminal and serial killer who committed four murders and was responsible for a large number of assaults. Mondria was considered extremely violent and aggressive. After a notorious murder of his girlfriend's 10-year-old son, he was sentenced to 18 years imprisonment in 1998, after initially receiving life imprisonment for three murders in 1978, for which he also received 15 years imprisonment."
Tsutomu Miyazaki,Japan,1988–1989,4,4,Japanese man who murdered four young girls between August 1988 and June 1989 popularly known as the Otaku Killer. He was active in Tokyo and Saitama Prefecture.
Cody Legebokoff,Canada,2009–2010,4,4,"Canadian serial killer convicted in 2014 by the British Columbia Supreme Court of murdering three women and one teenage girl, between 2009 and 2010, in or near the city of Prince George, British Columbia. He is one of Canada's youngest convicted serial killers."
Stephen Port,United Kingdom,2014–2015,4,4,"Nicknamed ""The Grindr Killer"", Port met his victims via online gay social networks. He used gamma-Hydroxybutyric acid (GHB), a date rape drug, adding it to drinks given to his victims, raped them, and murdered four of them in his flat in Barking, east London."
Howell Donaldson III,United States,2017,4,4,"Murdered four people in the Seminole Heights neighborhood of Tampa, Florida in October and November 2017. All four victims were shot dead seemingly at random.[352] Sentenced to four consecutive life sentences without parole in May 2023.[353][354]"
Arnold Sodeman,Australia,1930–1935,4,4,"Sodeman was convicted of murdering four children between 1930 and 1935. He would abduct children, gag them and tie their hands behind their back with their own clothing and then strangle them to death. Sodeman was one of the last eleven people to be executed in Victoria."
Craig Price,United States,1987–1989,4,4,"Murdered four people during violent attacks in their homes in Warwick, Rhode Island when he was a teenager."
Fritz Honka,Germany,1970–1975,4,4,Strangled sex workers who refused to service him in the way that he wanted.
Cayetano Santos Godino,Argentina,1912,4,,"Known as Petiso Orejudo (""the Big-eared Midget""). Teenage arsonist, animal killer and child murderer with congenital syphilis. Arrested at age 16 in 1912 for killing 4 children, although he tried to kill seven more, the first one when he was seven himself. Interned in 1913 in a reformatory, where he tried to kill other immates, and from 1915 in prison. Died in jail in 1948."
Eastbound Strangler,United States,2006,4,,"Killed four women in October and November 2006 in Atlantic City, NJ. Each was placed about sixty feet apart in a drainage ditch filled with shallow water. They were facing east and missing their socks."
Caroline Grills,Australia,1947–1953,4,,Poisoned four people (most of them relatives) with thallium hidden in tea and scones she had given them in Sydney. Sentenced to five consecutive life sentences (including one for attempting to poison another family member); died from peritonitis in 1960.
Gordon Cummins,United Kingdom,1942,4,,Raped three of his victims and robbed the remaining one. Also attacked two other women. Sentenced to death by hanging.
Marc Sappington,United States,2001,4,,Schizophrenic serial killer who heard voices telling him to kill after extended daily PCP use. He cannibalized part of his last victim.
Peter Woodcock,Canada,1956–1991,4,,"Sexual sadist and child rapist. Killed three young children in Toronto in the 1950s. Sentenced to a psychiatric facility, where he murdered a fellow inmate in 1991."
Léopold Dion,Canada,1963,4,,"Known as the ""Monster of Port-Rouge"". Canadian sex offender and serial killer who was active in Quebec. Sentenced to hang but stabbed to death on November 17, 1972, by fellow inmate Normand ""Lawrence d'Arabie"" Champagne, who was found not guilty by reason of insanity."
John Ingvar Lövgren,Sweden,1958–1963,4,,Confessed to four murders committed between 1958 and 1963 in the Stockholm region.
Lam Kor-wan,Hong Kong,1980s,4,,Taxi driver and one of Hong Kong's only two known serial killers. Famous for keeping body parts in his parents' home.
Jürgen Bartsch,West Germany,1962–1966,4,,"Killed four, one escaped; died by wrongful overdose during castration surgery."
Wayne Boden,Canada,1968–1971,4,,"Known as ""the Vampire Rapist"" killed 4 women between 1968 and 1971; died in prison 2006"
Ion Rîmaru,Romania,1970–1971,4,,"Known as ""The Vampire of Bucharest"". Attacked 15 lone waitresses as they returned from work with a hammer, hatchet, knife or iron bar, always after midnight and under unusual weather (snowstorms, fog, hard rain, etc.). Four were killed."
David Meirhofer,United States,1967–1974,4,,Killed three children and an ex-girlfriend between 1967 and 1974; first serial killer apprehended by offender profiling.
Donald Neilson,United Kingdom,1971–1975,4,,"Armed robber and murderer known as the ""Black Panther"". Died in prison in 2011."
Thor Nis Christiansen,United States,1977–1979,4,,"Shot dead and committed necrophilia on 4 young women in Isla Vista, California in the late 1970s. Stabbed to death in prison on March 30, 1981; killer unknown."
Michael Lupo,United Kingdom,1986,4,,"Called himself ""The Wolf Man"". Murdered four men after being diagnosed with HIV, died in prison in 1995."
Peter Lundin,Denmark,1991–2000,4,,"Killed his mother in 1991, then killed his mistress and her two children 9 years later; Sentenced to prison."
James Swann,United States,1993,4,,Known as The Shotgun Stalker; killed 4 and injured 5 in Washington D.C. in 1993.
Steven Grieveson,United Kingdom,1993–1994,4,,Murdered four boys in an attempt to conceal his homosexuality.
Frank Gust,Germany,1994–1998,4,,Kill four women form 1994 to 1998. Sentenced to life imprisonment.
Alexander Tchayka,Russia,1994,4,,All the victims were women wearing fur coats and were stabbed multiple times (21 in one case).
Peter Moore,United Kingdom,1995,4,,Stabbed and mutilated four men. Imprisoned for life since 1996.
Hiroaki Hidaka,Japan,1996,4,,Killed and robbed four women. Hanged in 2006.
Nicolai Bonner,Israel,2005,4,,"Born in Moldova, Bonner beat to death four fellow immigrants from the former Soviet Union, three of whom were homeless, and then tried to set them on fire. Sentenced to life imprisonment in 2007."
Raúl Osiel Marroquín,Mexico,2005,4,,"Called ""The Sadist"". Lured men in gay bars and strangled them, abandoning their bodies inside suitcases all over Mexico City. Two other victims were released after demanding a ransom from their families."
Dale Cregan,United Kingdom,2012,4,,
Richard Kuklinski,United States,1948–1986,3,100–250,
Harvey Miguel Robinson,United States,1992–1993,3,3,An American serial killer who murdered three women when he was only 18 years-old.
Albert Fish,United States,1924–1932,3,9–100+,American serial killer and child rapist who confessed to three murders for which he was convicted and sentenced to death.[355]
Robert Ben Rhoades,United States,1989–1990,3,50+,Convicted of murdering three women in Texas and Illinois between 1989 and 1990. Sentenced to life imprisonment.[356]
Peter Tobin,United Kingdom,1991–2006,3,48,"Scottish rapist and serial killer known to have killed at least three young women. Was also previously a suspect in the Bible John murders committed in Glasgow during the late 1960s, although police have now dismissed the theory.[357][358]"
Pedro Padilla Flores,Mexico,1986,3,30,Killed three women in 1986; fled to the US but recaptured and deported back to Mexico; main suspect in the Ciudad Juárez Murders.[359]
Stephen Morin,United States,1981,3,30[360],Convicted of murdering three women within a period of five weeks in 1981. Sentenced to the death penalty.[361]
Dorothea Puente,United States,1982–1988,3,9–25,Ran a boarding house in Sacramento where she poisoned tenants and buried them in the yard in order to steal their social security checks.[362]
Billy Glaze,United States,1986–1987,3,20+,"Known as ""Butcher Knife Billy"". Killer convicted of raping and murdering three Native American sex workers in Minneapolis in 1986 and 1987.[363]"
Sidney Cooke,United Kingdom,c. 1960–1989,3,20,"Described by The Guardian newspaper in 1999 as ""Britain's most notorious paedophile"", Cooke and his infamous paedophile ring were convicted of the murder of 14-year-old Jason Swift in 1984. They were also known by police to have been responsible for the abductions and murders of children Barry Lewis and Mark Tildesley. Cooke was the ringleader of the gang, who are believed to have murdered up to 20 children, possibly including Vishal Mehrotra and Martin Allen.[364][365]"
Bertha Gifford,United States,1909–1928,3,17,"Found not guilty by reason of insanity of three arsenic poisonings and suspected of 14 other killings, mostly children, in Missouri.[366]"
Bernhard Prigan,Allied-occupied Germany  West Germany,1947–1952,3,16,Killed women near highways; confessed to a total of 16 murders.[367]
Ronald Janssen,Belgium,1990s–2010,3,15+,
Patrick Mackay[a],United Kingdom,1973–1975,3,13,"Burglar suspect of 12 violent murders during robberies, charged with five, convicted of three. The two other cases were left to lie on file, and proof was later found by police that he had killed one of these victims.[368] Confessed to police that he had killed 13 people.[369][368] Has been eligible for parole since 1995 and since 2017 has been held in an open prison with day release provisions.[370] Now known as 'David Groves'.[370]"
Koos Hertogs,Netherlands,1979–1980,3,12,"Dutch serial killer convicted of abducting, torturing, raping and killing three girls. Suspected of killing a further three to nine girls and young women in the 1970s."
Michael Gargiulo,United States,1993–2008,3,10,"Dubbed ""The Hollywood Ripper"", Gargiulo stabbed 3 women to death, and tried to kill a fourth woman. Sentenced to death in 2021 but still on death row."
Chisako Kakehi,Japan,2007–2013,3,10,"Poisoned her husband and two other men to death, but suspected in another seven deaths; sentenced to death.[371]"
Heriberto Seda,United States,1990–1996,3,8+,"Considered to be a copycat of the Zodiac Killer. Claimed to have killed people based on their zodiac signs, and only killed when certain star formations were out."
Anthony Hardy,United Kingdom,2002,3,8,"Known as the ""Camden Ripper"", killed and dismembered three sex workers in Camden, London in 2002. Police believe he could be responsible for the murders of three other sex workers in London in the 1990s and two others in Nottinghamshire. One other unsolved murder he was linked to was solved in 2011 when her former partner John Sweeney was convicted of her murder.[372][373][374]"
Michael Lee Lockhart,United States,1987–1988,3,6+,"Multi-state serial killer who received death sentences in three states (Florida, Indiana, and Texas). He was executed in 1997 in Texas."
Peter Dupas,Australia,1997–1999,3,6,"Sexual sadist from Melbourne, who murdered three women and is suspected of at least three further killings. Was convicted of 16 separate acts of sexual violence before his first murder charge. Serving three consecutive life sentences without the possibility of parole."
Stephen Griffiths,United Kingdom,2009–2010,3,6,"Known to have killed three sex workers, but claimed to police to have killed 6.[375] Has been a suspect in one other murder.[376] Dubbed himself the ""Crossbow Cannibal"" as he killed his victims with a hammer and crossbow and then later ate parts of them.[377]"
Levi Bellfield,United Kingdom,2002–2004,3,6,"West London serial killer convicted of two fatal hammer attacks on women and the murder of Milly Dowler. Also a suspect in the murders of his childhood girlfriend Patsy Morris in 1980, Judith Gold, who was hit over the head in 1990,[378][379] and Elizabeth Chau, who disappeared in 1999 and whose murder Bellfield has allegedly confessed to.[380]"
Hans van Zon,Netherlands,1967,3,5+,"After the relationship between Hans van Zon and his girlfriend ended in April 1967, van Zon alleged that she continued to impose on him. To put an end to this, he went into her house and killed her with a self-made lead pipe. He also killed an 80-year-old shopkeeper, and a milkman in robberies. In addition to the murders he was tried for, van Zon was also suspected of several other murders, including the lust murder of Elly Segov in 1964 and the murder of the English homosexual film director Claude Berkeley in 1965."
Judy Buenoano,United States,1971–1980,3,5,"Poisoned her husband, boyfriend and son with arsenic; drowned the son in 1980 but caught in 1983 after poisoning and car bombing a fiancée."
Martin Ney,Germany,1992–2004,3,5,Wore a mask while killing 3 and sexually assaulting at least 40 children.
Paul Denyer,Australia,1993,3,5,"The ""Frankston Killer"", sentenced to three consecutive life sentences with a non-parole period of 30 years."
Bandali Debs,Australia,1997–1998,3,5,"Convicted of the murder of Kirsty Harty at Upper Beaconsfield in 1997, and of the Moorabbin Police murders 14 months later to avoid arrest for a string of armed robberies; sentenced to three consecutive life sentences plus 27 years without the possibility of parole."
Gordon Northcott,United States,1928,3,4–20,"Pedophile who abducted and murdered boys aged between 10 and 12 in Los Angeles and then disposed of the bodies with the help of his mother, Sarah Louise Northcott, and his underage nephew Sanford Clark, whom Northcott had repeatedly threatened and sexually abused. Police considered Northcott a suspect in the disappearance of as many as 20 missing boys in the area that Northcott admitted to have molested, but not murdered; one of these boys surfaced years later alive and confirmed Northcott's version. According to Clark, only four boys were held and murdered in Northcott's property; the three LA children whose remains were found and for whom Northcott was hanged, and an unidentified Mexican boy that Northcott beheaded and disposed of the body near La Puente, California."
Peter Kudzinowski,United States,1924–1928,3,4,"Convicted and executed for the murder of an adult in Scranton, Pennsylvania and two children in New Jersey. Also suspect in the death of two other children in New York City, although Albert Fish later confessed to have murdered one of them himself."
Harvey Glatman,United States,1957–1958,3,4,"Known as ""The Lonely Hearts Killer""; Californian rapist and killer; lured women to pose for ""bondage photographs""; executed in the gas chamber on September 18, 1959."
Martha Ann Johnson,United States,1977–1982,3,4,"Convicted of smothering three of her children in Atlanta between 1977 and 1982. Sentenced to life in prison on May 5, 1990."
Vlado Taneski,Republic of Macedonia,2005–2008,3,4,"A crime journalist, Taneski came under suspicion when his articles on the rape and murder of three elderly women included information that had not been disclosed by the police. All the victims were poor, uneducated cleaners and knew Taneski's mother. Taneski killed himself in prison before he could be interrogated for the murder of a fourth woman."
Özkan Zengin,Turkey,2008,3,4,Slit the throats of three confirmed victims before dumping the bodies in wells. Reportedly confessed to an additional murder.[381]
Khalil Wheeler-Weaver,United States,2016,3,4,"American serial killer from Orange, New Jersey, Wheeler-Weaver lured his victims using dating apps and murdered three women and attempted to kill a fourth between August 2016 and November 2016. One of the victim's friends created a fake account and lured him to a meeting before notifying police.[382]"
William Henry Hance,United States,1977–1978,3,4,Hance murdered three women in and around military bases in the late 1970s. He attempted to blame two of the murders on white vigilantes outraged over a series of murders later attributed to Carlton Gary. Hance was also blamed for the murder of a fourth woman at Fort Benjamin Harrison in Indiana but was never brought to trial for this crime.
"""Charlie Chop-off""",United States,1972–1973,3,4,"Unidentified assailant who attacked young black and Puerto Rican boys and mutilated their genitals with a straight razor, killing three and leaving one castrated. Another suspected victim was killed but did not have his genitals mutilated. A single suspect was arrested for attempting to abduct another boy, confessed to one of the murders and was hesitantly identified by the surviving victim, but was found unfit for trial and may have been in a mental hospital during the murders."
François Vérove,France,1986–1994,3,3–9+,"Nicknamed ""Le Grêlé"" (""the pockmarked man""), Verove a former police officer is blamed for four murders and a series of rapes since 1986. His confessed was found on his suicide note alongside body after he killed himself in 2021. The crimes include the 1986 murder of an 11-year-old child, Cécile Bloch, in Paris.[383][384]"
Louise Peete,United States,1912–1942,3,3+,"Convicted of murdering a man and woman decades apart, four other acquaintances died suspiciously and four husbands committed suicide."
Westley Allan Dodd,United States,1989,3,3+,"Dodd had an extensive arrest record for molesting children by the time his behavior escalated to include murder. Refusing to appeal his death sentence, he stated that he ""should be punished to the full extent of the law, as should all sex offenders and murderers"", and that if he ever escaped, he would immediately return to ""killing and raping kids"". Executed in 1993; his hanging was the first in the United States in 28 years."
Scott Erskine,United States,1989–1993,3,3+,Convicted of raping and murdering a woman in 1989 and the torture-murders of 2 boys in 1993. May be linked to other murders.
Donald Leroy Evans,United States,1985–1991,3,3+,"Murdered a young girl and two women. Suspected of another dozen murders but recanted confessions to over 70 more. Stabbed to death by another death row inmate on January 5, 1999."
John Martin,United Kingdom,1995,3,3+,"(Birth name John Martin Scripps, alias Simon James Davis) While on the run after escaping Britain, Martin killed at least three tourists between 8 and 14 March 1995 and robbed them of their possessions and money: one in Singapore and two in Thailand. He also dismembered their bodies and dumped them in various areas, such as the sea or abandoned places. Martin was also alleged to have killed at least three more people in other countries, such as the US, but these were unconfirmed. He was arrested in Changi Airport when he returned to Singapore on 19 March 1995, and was charged with murder. Martin was found guilty of the one murder he committed in Singapore and thus sentenced to death in November 1995. Martin was executed on 19 April 1996, after he declined to appeal against his sentence.[385]"
Richard Evonitz,United States,1996–1997,3,3+,"Abducted and killed 3 girls in Spotsylvania County, Virginia in 1996 and 1997"
Harvey Carignan,United States,1949–1974,3,3+,"Serving a life sentence at the Minnesota Correctional Facility – Faribault for the murders of two women. He had been previously convicted for a 1949 rape and murder he committed while stationed in the U.S. Army, in Anchorage, Alaska."
John Joubert,United States,1982–1983,3,3+,Joubert killed a young boy in Maine and two boys in Nebraska. He was executed by the State of Nebraska in 1996.
Akku Yadav,India,2004 and earlier,3,3+,Murdered at least three people and dumped their bodies on the railroad tracks; lynched by a mob of around 200 women.[386]
Michael Madison,United States,2012–2013,3,3+,"American serial killer from East Cleveland, Ohio who committed at least three murders."
"""Bible John""",United Kingdom,1968–1969,3,3,"Unidentified serial killer who murdered three women in Glasgow, Scotland.[387] Convicted serial killer Peter Tobin was suspected in the murders, but has since been eliminated as a suspect.[358]"
Andrew Dawson,United Kingdom,1982–2010,3,3,"Killed an elderly man during a burglary in 1982. Following his release from prison, he stabbed two of his neighbors to death in separate incidents, describing himself as an ""Angel of Mercy"". He is currently Derby's only serial killer.[388]"
Leonarda Cianciulli,Italy,1939–1940,3,3,"Murdered three women in the town of Correggio, Reggio Emilia, and turned their bodies into soap and cakes.[389]"
Sharon Kinne,United States,1960–1964,3,3,Sociopathic serial killer that murdered romantic partners with a handgun. Currently still at large since her escape from prison in 1969.
Ted Kaczynski,United States,1978–1995,3,3,"Domestic terrorist and serial bomber known as the ""Unabomber"", Kaczynski was responsible for more than two dozen bombings of universities and one airline bombing from 1978 to 1996, justified by Kaczynski by his philosophy that technological advancements would destroy humanity. Arrested in 1996 due to his brother David recognizing the then unidentified Unabomber's manifesto titled Industrial Society and Its Future as the work of Kaczynski. Died in prison on June 10, 2023.[390]"
Leon Dorsey,United States,1994,3,3,"Murdered three people from 4 April-11 September 1994. He was serving 60 years for the murder of an Ellis County convenience store employee when surveillance camera footage linked him to the murders of two other people. He was convicted and sentenced to death in June 2000, and executed on 12 August 2008."
Ronald Jebson,United Kingdom,1970–1974,3,3,"Jebson, a prolific child molester, was convicted of raping and killing the eight-year-old daughter of acquaintances in 1974. While serving his sentence he pled guilty to molesting and murdering two other children, Susan Blatchford and Gary Hanlon, in 1970."
Charles Albanese,United States,1980–1981,3,3,"Albanese poisoned his wife's mother and grandmother and his father with arsenic in order to obtain inheritance money, and unsuccessfully tried to poison his brother and mother. He was sentenced to death in two separate trials and ultimately executed in 1995."
George Chapman,United Kingdom,1897–1902,3,,Poisoned three consecutive mistresses with tartar emetic. Considered the possible identity of Jack the Ripper at the time of his execution (1903).
Martha Rendell,Australia,1907–1908,3,,Killed three stepchildren with hydrochloric acid in the 20th century; last woman to be hanged in Western Australia.
George Joseph Smith,United Kingdom,1912–1914,3,,"Known as ""The Brides in the Bath Murders""; killer of three women. Executed by hanging on August 13, 1915."
Daisy de Melker,South Africa,1923–1932,3,,Poisoner; killed two husbands and one son from 1923 to 1932.
Eddie Leonski,Australia,1942,3,,Confessed to three murders after being picked out of a line of American servicemen by witnesses. Sentenced to death and hanged.
William Heirens,United States,1945–1946,3,,"Burglar who stabbed three females between. Known as ""The Lipstick Killer""."
John Straffen,United Kingdom,1951–1952,3,,Killed his third victim after escaping from the mental hospital where he was recluded for the first two murders. Longest-held prisoner in modern British history at the time of his death in 2007.
Richard Laurence Marquette,United States,1961–1975,3,,"First 11th name on FBI 10 Most Wanted for killing, mutilating and dismembering a woman in 1961; killed two more with same MO upon 1973 release."
Graham Young,United Kingdom,1962–1971,3,,"Called the ""Teacup Poisoner"". Poisoned over 70 people, 3 of whom died."
Charles Schmid,United States,1964–1965,3,,"Known as ""The Pied Piper of Tucson""; murdered three teenage girls in 1964 and 1965 and buried them in the desert."
Lee Roy Martin,United States,1967–1968,3,,"Known as ""The Gaffney Strangler""; killed two women and two girls in South Carolina in 1967 and 1968."
Erwin Hagedorn,East Germany,1969–1971,3,,Killed three boys ages 9 to 12. Was convicted and executed in 1972.
Karl F. Warner,United States,1969–1971,3,,"Convicted of murdering three teenage girls, in two separate incidents, in the San Francisco Bay Area communities of San Jose and Saratoga, he was briefly suspected of being the notorious Zodiac Killer, but was soon ruled out as a suspect in that case."
Howard Arthur Allen,United States,1974–1987,3,,"Killed three elderly people, as well as assault, burglary, and arson. Sentenced to death June 11, 1988."
Trevor Hardy,United Kingdom,1974–1976,3,,"Called ""The Monster of Manchester"". Died in prison in 2012."
Steven David Catlin,United States,1976–1984,3,,Poisoned three people from 1976 to 1984. Sentenced to death in 1990.
Paul Michael Stephani,United States,1980–1982,3,,"Known as ""The Weepy-Voiced Killer""; would call police and ask for help after murders. Killed 3 women in the cities of Saint Paul and Minneapolis, Minnesota."
Dámaso Rodríguez Martín,Spain,1981–1991,3,,"Serial rapist and voyeur known as ""The Warlock"". After being sentenced to 55 years for murdering a man and raping his girlfriend in 1981, he escaped from prison in 1991 and fled to the Anaga mountains in Tenerife, where he killed a couple of German hikers (the woman was also raped). Cornered in an abandoned house, Martín shot himself unsuccessfully and was then shot dead by law enforcement."
Altemio Sanchez,United States,1981–2006,3,,"Known as ""The Bike Path Rapist"" for murdering three women and raping at least 14 others in and around the Buffalo, New York area. Sentenced to 75 years in prison without the possibility of parole."
Gregory Brazel,Australia,1982–1990,3,,Shot dead a woman in 1982 armed robbery and murdered two sex workers in 1990.
Brian Dugan,United States,1983–1985,3,,Convicted of murdering 2 girls and a woman between 1983 and 1985.[391]
Valery Asratyan,Soviet Union,1988–1990,3,,"Raped dozens of women in Moscow, murdering three. Executed."
Francisca Ballesteros,Spain,1990–2004,3,,"""The Black Widow of Valencia"". Poisoned her husband and three children, one of whom survived. Sentenced to 85 years in prison in 2005."
Silvo Plut,SR Slovenia  Serbia and Montenegro  Slovenia,1990–2006,3,,"After serving 13 years in prison in Slovenia for a rape and murder, Plut murdered a second woman in Serbia in 2004 and fled back to Slovenia, where a Serbian petition of extradition was turned down by the government. Plut was then arrested for attacking a couple (wife died, husband survived) and sentenced to 30 years in prison. Committed suicide in 2007."
Gabriel Garza Hoth,Mexico,1991–1998,3,,"Known as ""The Black Widower"", killed 3 women between 1991 and 1998, his victims were wives and lovers."
Robert Napper,United Kingdom,1992–1993,3,,"Rapist and murderer who mutilated one of his victims so badly that the policeman who found her was put into therapy for two years. Suspected of up to 70 violent sexual attacks in South East London attributed to the unidentified ""Green Chain Rapist""."
Antonis Daglis,Greece,1992–1995,3,,"""The Athens Ripper"". A serial rapist with antecedents for violence, Daglis upgraded to raping, strangling and dismembering three sex workers with a hacksaw in 1992, and tried to kill six more women. In his trial he claimed to hate all sex workers. Killed himself in prison in 1997."
Gustavo Romero Tercero,Spain,1993–1998,3,,"""The Valdepeñas Killer"". Armed robber and rapist, he killed a couple after the woman recognized him in 1993, and another woman in 1998 after accidentally hitting her with his car, fearing that a possible investigation would link him to the other crimes. Confessed and was sentenced to 83 years in prison for all crimes in 2003, after his ex-wife denounced him."
Peter Bryan,United Kingdom,1993–2004,3,,"A paranoid schizophrenic, Bryan was recluded in a mental institution after killing a shop assistant with a hammer in 1993. Released 11 years later after psychiatrists noted his ""continued improvement"", Bryan immediately killed a friend and was apprehended when he was frying his brains on a pan. Months later, Bryan killed a fellow mental patient, declaring that he didn't eat him solely because he was caught first. Currently imprisoned for life."
Lam Kwok-wai,Hong Kong,1993,3,,Convicted of 10 rapes and 3 murders that he committed with his bare hands. One of two only known serial killers in Hong Kong.
Dana Sue Gray,United States,1994,3,,Convicted of murder of three elderly women and attempted murder of a fourth in California.[392]
Robin Ligus,United Kingdom,1994,3,,Died in a mental institution in 2012.
